1	pick up	взять, подхватить, подобрать, поднять (в очень широком смысле слова: любой предмет, человека, сигнал, звук, запах, след и т. п.)	0
1	pull away	отъезжать, трогаться; отпрянуть, отстраниться; вырваться	0
1	pull on	1) натягивать (надевать); 2) тянуть (на себя)	0
1	pull off	1) снимать, стаскивать; 2) справиться, выполнить; 3) съехать	0
1	pull up	подъезжать, останавливаться	0
1	pull out	1) вытаскивать, вынимать; 2) отъезжать, выезжать	0
1	put away	убирать, отложить, прятать	0
1	put in	вставлять	0
1	put down	положить, опустить	0
1	put out	1) вытягивать; 2) выставлять; 3) тушить	0
1	put on	1) надевать, одевать; 2) включать, приводить в действие	0
1	put up	1) поднимать; 2) строить; 3) финансировать	0
1	run into	встретить, столкнуться, наскочить	0
1	run away	убегать, удирать	0
1	run out	1) выбегать; 2) кончаться, истощаться	0
1	run off	удирать, убегать, сбегать	0
1	run over	1) подбегать; 2) переехать, задавить; 3) столкнуться	0
1	set up	устраивать, организовывать, создавать	0
1	set off	1) отправляться (в путь); 2) вызывать (действие)	0
1	set down	поставить, положить	0
1	show up	появляться, приходить	0
1	shoot out	выскочить, вылететь	0
1	settle down	1) усаживаться; 2) поселяться; 3) успокаиваться	0
1	sit down	садиться, усаживаться, занимать место	0
1	shut up	заставить замолчать, заткнуть, заткнуться (самому)	0
1	sit back	откинуться назад/на спинку сиденья	0
1	shut down	1) закрыть, прикрыть; 2) выключить, отключить	0
1	sit up	приподняться, сесть из лежачего положения	0
1	stand by	1) приготовиться; 2) ждать; 3) поддерживать	0
1	spread out	растягивать(ся), развертывать(ся), расширять(ся)	0
1	stand up	вставать, выпрямляться	0
1	stand out	выделяться, выступать, быть заметным	0
1	stick out	1) торчать, выпирать; 2) вытягивать, протягивать	0
1	switch on	включать	0
1	switch off	выключать	0
1	take away	1) убирать, забирать; 2) отбирать, отнимать	0
1	take over	захватить, овладеть, взять под контроль	0
1	take on	приобретать, принимать (форму, вид, свойство и т. п.)	0
1	take off	1) снимать (с себя); 2) уходить, уезжать	0
1	take in	1) вбирать, воспринимать; 2) впустить, приютить	0
1	take out	вынимать, вытаскивать	0
1	take back	1) отдать обратно/назад; 2) взять обратно/назад	0
1	take up	1) занимать (место); 2) заняться чём-л.; 3) подхватить	0
1	throw up	1) выкинуть; тошнить, рвать; 2) вскинуть, поднять	0
1	turn away	отворачиваться	0
1	turn around	оборачиваться	0
1	turn down	1) отвергать, отклонять; 2) убавлять, уменьшать	0
1	turn back	1) повернуться снова, опять; 2) повернуть назад, отступить	0
1	turn into	превращать(ся) в кого-л. или во что-л.	0
1	turn on	включать	0
1	turn off	1) выключать; 2) сворачивать, поворачивать	0
1	turn up	появляться	0
1	turn over	1) переворачивать(ся); 2) передавать	0
